anwer, duration
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.052
unsat,0.053
unsat,0.051
timeout,20.00
unsat,0.051
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.077
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.055
unsat,0.056
unsat,0.054
timeout,20.00
unsat,0.055
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.080
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.080
sat,0.077
timeout,20.00
sat,0.081
sat,0.080
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.080
timeout,20.00
sat,0.083
timeout,20.00
timeout,20.00
sat,0.080
sat,0.082
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.078
sat,0.076
timeout,20.00
sat,0.079
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.080
timeout,20.00
timeout,20.00
sat,0.077
timeout,20.00
sat,0.080
sat,0.074
sat,0.074
sat,0.072
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.075
timeout,20.00
sat,0.075
timeout,20.00
sat,0.075
timeout,20.00
sat,0.079
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.074
sat,0.075
sat,0.075
sat,0.074
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.073
sat,0.074
timeout,20.00
sat,0.075
sat,0.072
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.067
sat,0.066
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.069
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.053
unsat,0.053
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.067
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.067
timeout,20.00
timeout,20.00
sat,0.067
sat,0.066
timeout,20.00
sat,0.068
timeout,20.00
sat,0.066
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.070
sat,0.068
timeout,20.00
timeout,20.00
sat,0.068
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.067
sat,0.064
timeout,20.00
sat,0.066
sat,0.069
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.072
sat,0.067
timeout,20.00
timeout,20.00
sat,0.067
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.067
sat,0.108
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.063
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.086
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.086
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.144
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.141
sat,0.143
sat,0.142
sat,0.141
sat,0.140
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.144
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.141
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.085
timeout,20.00
sat,0.145
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.140
sat,0.141
timeout,20.00
timeout,20.00
unsat,0.083
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.147
timeout,20.00
timeout,20.00
sat,0.143
timeout,20.00
sat,0.145
sat,0.145
sat,0.144
sat,0.145
sat,0.146
timeout,20.00
sat,0.143
timeout,20.00
sat,0.140
sat,0.142
sat,0.143
sat,0.107
timeout,20.00
timeout,20.00
sat,0.104
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.105
sat,0.103
timeout,20.00
sat,0.105
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.106
timeout,20.00
sat,0.105
sat,0.102
sat,0.103
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.066
unsat,0.065
timeout,20.00
unsat,0.070
unsat,0.083
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.073
unsat,0.072
timeout,20.00
unsat,0.075
unsat,0.097
unsat,0.099
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.133
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.131
sat,0.132
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.134
timeout,20.00
timeout,20.00
sat,0.133
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.133
sat,0.129
timeout,20.00
sat,0.128
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.122
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.120
sat,0.123
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.124
timeout,20.00
sat,0.121
sat,0.123
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.121
sat,0.120
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.081
unsat,0.234
sat,0.034
sat,0.034
sat,0.036
timeout,20.00
unsat,0.258
timeout,20.00
unsat,0.226
timeout,20.00
timeout,20.00
unsat,0.228
unsat,0.226
unsat,0.223
timeout,20.00
unsat,0.231
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.228
unsat,0.225
timeout,20.00
unsat,0.064
timeout,20.00
unsat,0.068
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.097
sat,0.110
unsat,0.175
sat,0.094
sat,0.091
unsat,0.189
unsat,0.195
unsat,0.221
sat,0.091
unsat,0.198
timeout,20.00
sat,0.094
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.221
unsat,0.221
timeout,20.00
unsat,0.055
timeout,20.00
sat,0.095
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.057
timeout,20.00
sat,0.054
sat,0.051
unsat,0.034
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.046
unsat,0.118
timeout,20.00
timeout,20.00
unsat,0.040
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.061
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.058
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.061
sat,0.060
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.038
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.041
unsat,0.040
sat,0.052
sat,0.052
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.123
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
unsat,0.077
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.135
timeout,20.00
sat,0.135
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.133
timeout,20.00
timeout,20.00
sat,0.134
timeout,20.00
timeout,20.00
timeout,20.00
sat,0.135
