relation file, mode, rule, relations result,relations duration,quantifiers file2,quantifiers mode,quantifiers  rule,quantifiers result,quantifiers duration,z3 file,z3  mode,z3 rule,z3  result,z3 duration,file/mode match,result_match,Difference
test2.sleec, redundancy,0, sat,0.022147179,test2.sleec, redundancy,0, sat,0.064637184,test2.sleec, redundancy,0, sat,0.028031826,TRUE,TRUE,-0.005884647
test2.sleec, redundancy,1, sat,0.012153864,test2.sleec, redundancy,1, sat,0.057418823,test2.sleec, redundancy,1, sat,0.019772053,TRUE,TRUE,-0.007618189
test2.sleec, redundancy,2, sat,0.034395695,test2.sleec, redundancy,2, sat,0.038916349,test2.sleec, redundancy,2, sat,0.022359848,TRUE,TRUE,0.012035847
test2.sleec, conflict,0, sat,0.038166761,test2.sleec, conflict,0, sat,0.019581795,test2.sleec, conflict,0, unsat,0.065339565,TRUE,FALSE,-0.027172804
test2.sleec, conflict,1, sat,0.016278744,test2.sleec, conflict,1, sat,0.021358013,test2.sleec, conflict,1, sat,0.071583748,TRUE,TRUE,-0.055305004
test2.sleec, conflict,2, sat,0.037482262,test2.sleec, conflict,2, sat,0.019007206,test2.sleec, conflict,2, unsat,0.061251879,TRUE,FALSE,-0.023769617
buggy.sleec, redundancy,0, unsat,0.057259321,buggy.sleec, redundancy,0, unsat,0.594165087,buggy.sleec, redundancy,0, unsat,0.143388748,TRUE,TRUE,-0.086129427
buggy.sleec, redundancy,1, sat,0.061546564,buggy.sleec, redundancy,1, sat,0.162561655,buggy.sleec, redundancy,1, sat,0.065394402,TRUE,TRUE,-0.003847837
buggy.sleec, redundancy,2, sat,0.03771472,buggy.sleec, redundancy,2, sat,5.021460056,buggy.sleec, redundancy,2, sat,0.111388683,TRUE,TRUE,-0.073673964
buggy.sleec, redundancy,3, sat,0.070994854,buggy.sleec, redundancy,3, sat,3.935708523,buggy.sleec, redundancy,3, sat,0.154098749,TRUE,TRUE,-0.083103895
buggy.sleec, redundancy,4, sat,0.065617561,buggy.sleec, redundancy,4, sat,0.272355556,buggy.sleec, redundancy,4, sat,0.071572065,TRUE,TRUE,-0.005954504
buggy.sleec, redundancy,5, unsat,0.014126301,buggy.sleec, redundancy,5, unsat,1.454008818,buggy.sleec, redundancy,5, unsat,0.041611195,TRUE,TRUE,-0.027484894
buggy.sleec, redundancy,6, unsat,0.031376839,buggy.sleec, redundancy,6, unsat,2.490978718,buggy.sleec, redundancy,6, unsat,0.069716692,TRUE,TRUE,-0.038339853
buggy.sleec, redundancy,7, sat,0.014021158,buggy.sleec, redundancy,7, sat,0.029269934,buggy.sleec, redundancy,7, sat,0.024462938,TRUE,TRUE,-0.01044178
buggy.sleec, redundancy,8, sat,0.015955448,buggy.sleec, redundancy,8, sat,0.035093069,buggy.sleec, redundancy,8, sat,0.02509141,TRUE,TRUE,-0.009135962
